white,black,result,utc_date_time,time_control
vivelafete,cougar1,1-0,2013-01-01 00:47:25,180+0
sinic,marzinkus,0-1,2013-01-01 00:48:08,480+8
rasmussenesq,lamobot,1-0,2013-01-01 00:48:09,120+3
cheesedout,namesnik,1-0,2013-01-01 00:48:32,60+0
sport,dissident_with_love,1-0,2013-01-01 00:43:55,300+3
t4nk,cheesedout,0-1,2013-01-01 00:55:34,60+0
sport,angrom,0-1,2013-01-01 00:56:33,300+3
driverblag,psonio,0-1,2013-01-01 00:48:52,360+2
vivelafete,kyklades,0-1,2013-01-01 00:50:13,240+0
2girls1cup,krieg,1/2-1/2,2013-01-01 00:50:24,120+2
namesnik,cheesedout,0-1,2013-01-01 00:50:31,60+0
peter2,killi,0-1,2013-01-01 00:51:20,480+0
cheesedout,namesnik,1-0,2013-01-01 00:52:42,60+0
driverblag,blizz,0-1,2013-01-01 00:55:21,300+0
desmond_wilson,t4nk,0-1,2013-01-01 00:53:44,0+1
desmond_wilson,t4nk,0-1,2013-01-01 00:54:22,0+1
desmond_wilson,t4nk,0-1,2013-01-01 00:55:07,0+1
krieg,2girls1cup,1-0,2013-01-01 00:56:39,120+2
h___n,theweebles,0-1,2013-01-01 00:56:46,480+0
dbnp,?,1-0,2013-01-01 00:57:27,-
adrnlnnjectd,desmond_wilson,0-1,2013-01-01 00:57:08,600+10
peter2,killi,0-1,2013-01-01 00:57:44,480+0
cheesedout,t4nk,1-0,2013-01-01 00:57:55,60+0
krieg,2girls1cup,0-1,2013-01-01 01:04:03,60+1
sport,dangercat,1-0,2013-01-01 00:58:21,300+3
t4nk,cheesedout,0-1,2013-01-01 00:58:35,60+0
2girls1cup,krieg,1-0,2013-01-01 00:58:59,120+2
vivelafete,chinekeboy,0-1,2013-01-01 00:59:11,180+0
cheesedout,t4nk,1-0,2013-01-01 00:59:17,0+1
t4nk,cheesedout,0-1,2013-01-01 00:59:30,0+1
marzinkus,neuronchess,1-0,2013-01-01 00:59:50,480+0
jimmy80,metrolog,0-1,2013-01-01 01:00:25,300+3
dipo_a,kyklades,1-0,2013-01-01 01:01:06,240+0
oleh77,quixote91,1-0,2013-01-01 01:01:06,1800+8
cheesedout,t4nk,1-0,2013-01-01 01:01:54,0+1
vivelafete,chinekeboy,1/2-1/2,2013-01-01 01:02:42,240+0
t4nk,cheesedout,0-1,2013-01-01 01:03:20,0+1
cheesedout,t4nk,1-0,2013-01-01 01:04:12,0+1
t4nk,cheesedout,0-1,2013-01-01 01:05:02,0+1
cheesedout,t4nk,1-0,2013-01-01 01:05:50,0+1
j-jorjik,killi,0-1,2013-01-01 01:06:15,480+8
cheesedout,t4nk,1-0,2013-01-01 01:08:29,0+1
donchester,blizz,1-0,2013-01-01 01:06:30,300+0
t4nk,cheesedout,0-1,2013-01-01 01:09:04,0+1
t4nk,cheesedout,1-0,2013-01-01 01:07:17,0+1
kyklades,sport,0-1,2013-01-01 01:09:09,240+0
oleh77,maroz,0-1,2013-01-01 01:10:10,1800+8
cheesedout,t4nk,1-0,2013-01-01 01:10:17,0+1
hostking,dangercat,1-0,2013-01-01 01:10:44,540+0
rodney,jaquen81,0-1,2013-01-01 01:11:04,480+0
psonio,vivelafete,1-0,2013-01-01 01:11:44,240+0
jimmy80,kingofconcentration,0-1,2013-01-01 01:13:11,300+3
theweebles,h___n,1-0,2013-01-01 01:13:20,480+0
chinekeboy,desmond_wilson,1-0,2013-01-01 01:13:22,120+0
zebrao,metrolog,0-1,2013-01-01 01:13:37,420+3
milligan,quixote91,0-1,2013-01-01 01:13:55,900+0
crazy2013,neuronchess,1-0,2013-01-01 01:14:11,480+0
lifeofmg,chinekeboy,0-1,2013-01-01 01:16:51,120+0
peter2,treehugger,0-1,2013-01-01 01:16:45,480+0
vivelafete,psonio,0-1,2013-01-01 01:16:59,240+0
namesnik,cheesedout,1-0,2013-01-01 01:17:20,60+0
maxpax,kramer,1-0,2013-01-01 01:17:31,480+16
snob,frenchnovice,0-1,2013-01-01 01:18:02,300+8
sport,troepianiz,1-0,2013-01-01 01:19:02,300+3
cheesedout,t4nk,1-0,2013-01-01 01:19:59,0+1
airtsart,nujabes,1/2-1/2,2013-01-01 01:19:47,180+0
msun,vblack,0-1,2013-01-01 01:20:08,300+0
moonwalker,-jack69-,1-0,2013-01-01 01:16:57,120+0
chinekeboy,61doc,1-0,2013-01-01 01:20:22,180+0
-jack69-,moonwalker,0-1,2013-01-01 01:21:45,120+0
t4nk,cheesedout,0-1,2013-01-01 01:21:56,0+1
peter2,j-jorjik,1-0,2013-01-01 01:22:40,480+0
cheesedout,t4nk,1-0,2013-01-01 01:23:05,0+1
oleh77,chessdotcomsucks,0-1,2013-01-01 01:23:49,1800+8
vivelafete,kingofconcentration,1-0,2013-01-01 01:23:23,240+0
chinekeboy,namesnik,1-0,2013-01-01 01:24:00,120+0
t4nk,cheesedout,0-1,2013-01-01 01:24:08,0+1
gabrielvictor,quentono,0-1,2013-01-01 01:24:03,840+0
cheesedout,t4nk,1-0,2013-01-01 01:25:12,0+1
t4nk,cheesedout,0-1,2013-01-01 01:25:53,0+1
cheesedout,t4nk,1-0,2013-01-01 01:26:28,0+1
gsmaldone,munius,0-1,2013-01-01 01:26:31,300+5
kramer,maxpax,1-0,2013-01-01 01:26:33,480+16
moonwalker,-jack69-,1-0,2013-01-01 01:26:57,120+0
t4nk,cheesedout,0-1,2013-01-01 01:27:42,0+1
4di4,la-la-la,0-1,2013-01-01 01:21:59,1320+8
troepianiz,neuronchess,0-1,2013-01-01 01:28:02,480+0
cheesedout,t4nk,1-0,2013-01-01 01:28:07,0+1
kingofconcentration,vivelafete,0-1,2013-01-01 01:28:10,240+0
theweebles,metrolog,1-0,2013-01-01 01:28:26,480+0
chinekeboy,namesnik,1-0,2013-01-01 01:28:33,120+0
t4nk,cheesedout,0-1,2013-01-01 01:28:53,0+1
cheesedout,t4nk,1-0,2013-01-01 01:29:51,0+1
t4nk,cheesedout,0-1,2013-01-01 01:30:52,0+1
sport,crazy2013,0-1,2013-01-01 01:31:28,300+3
cheesedout,t4nk,1-0,2013-01-01 01:31:48,0+1
msun,namesnik,0-1,2013-01-01 01:31:51,300+0
dbnp,?,0-1,2013-01-01 01:32:25,-
t4nk,cheesedout,1-0,2013-01-01 01:32:55,0+1
peter2,sanuch111,0-1,2013-01-01 01:35:31,480+0
vivelafete,ptdhina,1-0,2013-01-01 01:35:46,300+0
cheesedout,t4nk,1-0,2013-01-01 01:36:14,60+0
marzinkus,kingofconcentration,1-0,2013-01-01 01:36:37,480+8
moonwalker,-jack69-,0-1,2013-01-01 01:37:16,120+0
namesnik,blizz,1-0,2013-01-01 01:38:25,240+0
t4nk,cheesedout,0-1,2013-01-01 01:39:23,60+0
alexey_k,israelcravchik,0-1,2013-01-01 01:39:32,600+0
oleh77,metrolog,0-1,2013-01-01 01:39:44,1800+8
cheesedout,t4nk,1-0,2013-01-01 01:40:31,0+1
t4nk,cheesedout,1/2-1/2,2013-01-01 01:40:54,0+1
gabrielvictor,snob,1-0,2013-01-01 01:42:04,300+9
kingofconcentration,msun,1/2-1/2,2013-01-01 01:41:10,300+0
-jack69-,moonwalker,1-0,2013-01-01 01:42:04,120+0
legendary_erfan,tiggran,0-1,2013-01-01 01:42:12,60+0
cheesedout,t4nk,1-0,2013-01-01 01:42:51,0+1
ptdhina,vivelafete,0-1,2013-01-01 01:42:58,300+0
t4nk,cheesedout,0-1,2013-01-01 01:44:17,0+1
peter2,sig,0-1,2013-01-01 01:43:00,480+0
cheesedout,t4nk,1-0,2013-01-01 01:44:45,0+1
fashionboy,quentono,0-1,2013-01-01 01:44:48,840+0
alexanderthal,namesnik,0-1,2013-01-01 01:45:37,300+8
t4nk,cheesedout,0-1,2013-01-01 01:47:17,0+1
cheesedout,t4nk,1-0,2013-01-01 01:47:31,0+1
t4nk,cheesedout,0-1,2013-01-01 01:48:07,0+1
cheesedout,t4nk,1-0,2013-01-01 01:48:40,0+1
t4nk,cheesedout,0-1,2013-01-01 01:49:34,0+1
cheesedout,t4nk,0-1,2013-01-01 01:50:03,0+1
t4nk,cheesedout,0-1,2013-01-01 01:50:37,0+1
tiggran,msun,1-0,2013-01-01 01:51:08,300+0
cheesedout,t4nk,1-0,2013-01-01 01:51:50,0+1
metrolog,munius,0-1,2013-01-01 01:53:18,180+15
vivelafete,ptdhina,0-1,2013-01-01 01:53:32,300+0
legendary_erfan,namesnik,1-0,2013-01-01 01:54:13,60+0
t4nk,cheesedout,0-1,2013-01-01 01:53:56,0+1
peter2,marzinkus,1-0,2013-01-01 01:54:29,480+0
alexey_k,adamsrj,1-0,2013-01-01 01:55:19,1560+30
stech,allende,0-1,2013-01-01 01:55:25,540+0
cheesedout,t4nk,1-0,2013-01-01 01:56:46,0+1
allende,stech,0-1,2013-01-01 01:56:51,540+0
t4nk,cheesedout,0-1,2013-01-01 01:56:57,0+1
israelcravchik,dannylucano,1-0,2013-01-01 01:57:01,600+0
legendary_erfan,boss92,0-1,2013-01-01 01:57:17,60+0
cheesedout,t4nk,1-0,2013-01-01 01:57:57,0+1
t4nk,cheesedout,0-1,2013-01-01 01:58:28,0+1
shaktimaan,sokol,1-0,2013-01-01 01:58:05,120+2
cheesedout,t4nk,1-0,2013-01-01 01:58:51,0+1
adamsrj,alexey_k,1-0,2013-01-01 01:59:00,1560+30
metrolog,theweebles,1-0,2013-01-01 01:59:04,480+0
haven,boss92,0-1,2013-01-01 01:59:16,60+0
luuletaja,ih8tomatoes,1-0,2013-01-01 01:59:48,300+12
t4nk,cheesedout,0-1,2013-01-01 01:59:58,0+1
legendary_erfan,ptdhina,1-0,2013-01-01 02:00:33,60+0
stech,allende,0-1,2013-01-01 02:00:56,540+0
cheesedout,t4nk,1-0,2013-01-01 02:01:03,0+1
t4nk,cheesedout,0-1,2013-01-01 02:02:42,0+1
ptdhina,legendary_erfan,0-1,2013-01-01 02:02:58,60+0
alitadepollo,dannylucano,1-0,2013-01-01 02:03:04,600+8
ow055,sandee,1-0,2013-01-01 02:03:23,180+1
cheesedout,t4nk,1-0,2013-01-01 02:03:25,0+1
t4nk,cheesedout,0-1,2013-01-01 02:04:16,0+1
tiggran,lamobot,0-1,2013-01-01 02:04:21,180+3
cheesedout,t4nk,1-0,2013-01-01 02:05:09,0+1
t4nk,cheesedout,1-0,2013-01-01 02:05:19,0+1
allende,stech,0-1,2013-01-01 02:05:27,540+0
ptdhina,sokol,0-1,2013-01-01 02:05:42,120+2
legendary_erfan,rookierook,1-0,2013-01-01 02:06:09,60+0
